teamid,team,goals,shotspg,yellow_cards,red_cards,avgpossessionperc,avgpassaccperc,aerialswon,rating,playerid,playerfirstname,playerlastname,position
1,Juventus,77,15.7,76,6,55.4,88.3,11,6.85,1,Gianluigi,Buffon,goalkeeper
1,Juventus,77,15.7,76,6,55.4,88.3,11,6.85,2,Giorgio,Chiellini,defender
1,Juventus,77,15.7,76,6,55.4,88.3,11,6.85,3,Aaron,Ramsey,middlefielder
1,Juventus,77,15.7,76,6,55.4,88.3,11,6.85,4,Cristiano,Ronaldo,forward
2,Atalanta,90,16.3,66,3,53.5,83.5,16,6.84,5,Rafael,Toloi,goalkeeper
2,Atalanta,90,16.3,66,3,53.5,83.5,16,6.84,6,Marten,de Roon,middlefielder
2,Atalanta,90,16.3,66,3,53.5,83.5,16,6.84,7,Robin,Gosens,defender
2,Atalanta,90,16.3,66,3,53.5,83.5,16,6.84,8,Luis,Muriel,forward
3,AC Milan,74,14.7,80,4,51.4,84.0,15,6.82,9,Gianluigi,Donnarumma,goalkeeper
3,AC Milan,74,14.7,80,4,51.4,84.0,15,6.82,10,Theo,Hernandez,defender
3,AC Milan,74,14.7,80,4,51.4,84.0,15,6.82,11,Brahim,Diaz,middlefielder
3,AC Milan,74,14.7,80,4,51.4,84.0,15,6.82,12,Rafael,Leao,forward
4,Napoli,86,17.0,71,3,54.1,87.0,11,6.81,13,David,Ospina,goalkeeper
4,Napoli,86,17.0,71,3,54.1,87.0,11,6.81,14,Amir,Rrahmani,defender
4,Napoli,86,17.0,71,3,54.1,87.0,11,6.81,15,Stanislav,Lobotka,middlefielder
4,Napoli,86,17.0,71,3,54.1,87.0,11,6.81,16,Victor,Osimhen,forward
5,Inter,89,14.5,59,2,52.0,87.0,11,6.8,17,Daniele,Padelli,goalkeeper
5,Inter,89,14.5,59,2,52.0,87.0,11,6.8,18,Stefan,de Vrij,defender
5,Inter,89,14.5,59,2,52.0,87.0,11,6.8,19,Arturo,Vidal,middlefielder
5,Inter,89,14.5,59,2,52.0,87.0,11,6.8,20,Romelu,Lukaku,forward
6,Roma,68,14.3,84,3,51.5,84.5,12,6.71,21,Daniel,Fuzato,goalkeeper
6,Roma,68,14.3,84,3,51.5,84.5,12,6.71,22,Marash,Kumbulla,defender
6,Roma,68,14.3,84,3,51.5,84.5,12,6.71,23,Lorenzo,Pellegrini,middlefielder
6,Roma,68,14.3,84,3,51.5,84.5,12,6.71,24,Borja,Mayoral,forward
7,Sassuolo,64,13.9,74,4,58.2,87.8,10,6.67,25,Stefano,Turati,goalkeeper
7,Sassuolo,64,13.9,74,4,58.2,87.8,10,6.67,26,Jeremy,Toljan,defender
7,Sassuolo,64,13.9,74,4,58.2,87.8,10,6.67,27,Manuel,Locatelli,middlefielder
7,Sassuolo,64,13.9,74,4,58.2,87.8,10,6.67,28,Gianluca,Scamacca,forward
8,Sampdoria,52,11.3,81,3,46.1,78.5,16,6.63,29,Karlo,Letica,goalkeeper
8,Sampdoria,52,11.3,81,3,46.1,78.5,16,6.63,30,Omar,Colley,defender
8,Sampdoria,52,11.3,81,3,46.1,78.5,16,6.63,31,Adrien,Silva,middlefielder
8,Sampdoria,52,11.3,81,3,46.1,78.5,16,6.63,32,Keita,Balde,forward
9,Lazio,61,13.8,100,5,52.2,83.8,14,6.62,33,Marco,Alia,goalkeeper
9,Lazio,61,13.8,100,5,52.2,83.8,14,6.62,34,Luiz,Felipe,defender
9,Lazio,61,13.8,100,5,52.2,83.8,14,6.62,35,Marco,Parolo,middlefielder
9,Lazio,61,13.8,100,5,52.2,83.8,14,6.62,36,Ciro,Immobile,forward
10,Torino,50,12.2,72,4,48.0,80.5,16,6.59,37,Salvatore,Sirigu,goalkeeper
10,Torino,50,12.2,72,4,48.0,80.5,16,6.59,38,Ricardo,Rodriguez,defender
10,Torino,50,12.2,72,4,48.0,80.5,16,6.59,39,Amer,Gojak,middlefielder
10,Torino,50,12.2,72,4,48.0,80.5,16,6.59,40,Antonio,Sanabria,forward
11,Verona,43,10.6,91,1,49.6,76.3,20,6.59,41,Alessandro,Berardi,goalkeeper
11,Verona,43,10.6,91,1,49.6,76.3,20,6.59,42,Davide,Faraoni,defender
11,Verona,43,10.6,91,1,49.6,76.3,20,6.59,43,Miguel,Veloso,middlefielder
11,Verona,43,10.6,91,1,49.6,76.3,20,6.59,44,Eddie,Salcedo,forward
12,Cagliari,43,11.4,73,3,45.8,79.8,17,6.58,45,Simeone,Aresti,goalkeeper
12,Cagliari,43,11.4,73,3,45.8,79.8,17,6.58,46,Diego,Godin,defender
12,Cagliari,43,11.4,73,3,45.8,79.8,17,6.58,47,Alfred,Duncan,middlefielder
12,Cagliari,43,11.4,73,3,45.8,79.8,17,6.58,48,Giovanni,Simeone,forward
13,Bologna,51,13.1,78,4,50.7,81.5,15,6.56,49,Angelo,Da Costa,goalkeeper
13,Bologna,51,13.1,78,4,50.7,81.5,15,6.56,50,Araron,Hickey,defender
13,Bologna,51,13.1,78,4,50.7,81.5,15,6.56,51,Nicolas,Dominiguez,middlefielder
13,Bologna,51,13.1,78,4,50.7,81.5,15,6.56,52,Nicola,Sansone,forward
14,Udinese,42,10.9,63,2,47.2,82.5,13,6.55,53,Juan,Musso,goalkeeper
14,Udinese,42,10.9,63,2,47.2,82.5,13,6.55,54,Kevin,Bonifazi,defender
14,Udinese,42,10.9,63,2,47.2,82.5,13,6.55,55,Mato,Jajalo,middlefielder
14,Udinese,42,10.9,63,2,47.2,82.5,13,6.55,56,Ilija,Nestorovski,forward
15,Genoa,47,9.0,85,2,46.1,79.7,13,6.54,57,Mattia,Perin,goalkeeper
15,Genoa,47,9.0,85,2,46.1,79.7,13,6.54,58,Cristan,Zapata,defender
15,Genoa,47,9.0,85,2,46.1,79.7,13,6.54,59,Filippo,Melegoni,middlefielder
15,Genoa,47,9.0,85,2,46.1,79.7,13,6.54,60,Marko,Pjaca,forward
16,Fiorentina,47,9.8,86,5,46.8,81.0,14,6.52,61,Pietro,Terracciano,goalkeeper
16,Fiorentina,47,9.8,86,5,46.8,81.0,14,6.52,62,Lorenzo,Venuti,defender
16,Fiorentina,47,9.8,86,5,46.8,81.0,14,6.52,63,Borja,Valero,middlefielder
16,Fiorentina,47,9.8,86,5,46.8,81.0,14,6.52,64,Franck,Ribery,forward
17,Spezia,52,10.2,92,5,51.6,81.1,14,6.5,65,Jeroen,Zoet,goalkeeper
17,Spezia,52,10.2,92,5,51.6,81.1,14,6.5,66,Juan,Ramos,defender
17,Spezia,52,10.2,92,5,51.6,81.1,14,6.5,67,Matteo,Ricci,middlefielder
17,Spezia,52,10.2,92,5,51.6,81.1,14,6.5,68,Daniele,Verde,forward
18,Parma Calcio 1913,39,10.4,91,1,48.4,82.5,16,6.49,69,Luigi,Sepe,goalkeeper
18,Parma Calcio 1913,39,10.4,91,1,48.4,82.5,16,6.49,70,Giuseppe,Pezzella,defender
18,Parma Calcio 1913,39,10.4,91,1,48.4,82.5,16,6.49,71,Alberto,Grassi,middlefielder
18,Parma Calcio 1913,39,10.4,91,1,48.4,82.5,16,6.49,72,Yann,Karamoh,forward
19,Crotone,45,9.5,85,4,47.2,80.4,12,6.43,73,Alex,Cordaz,goalkeeper
19,Crotone,45,9.5,85,4,47.2,80.4,12,6.43,74,Giuseppe,Cuomo,defender
19,Crotone,45,9.5,85,4,47.2,80.4,12,6.43,75,Junior,Messias,middlefielder
19,Crotone,45,9.5,85,4,47.2,80.4,12,6.43,76,Adam,Ounas,forward
20,Benevento,40,11.0,90,5,44.2,77.7,13,6.43,77,Lorenzo,Montipo,goalkeeper
20,Benevento,40,11.0,90,5,44.2,77.7,13,6.43,78,Luca,Antei,defender
20,Benevento,40,11.0,90,5,44.2,77.7,13,6.43,79,Nicolas,Voila,middlefielder
20,Benevento,40,11.0,90,5,44.2,77.7,13,6.43,80,Marco,Sau,forward
